City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Mariental,NA,2021-07-29 02:09:14,-24.6333,17.9667,50.29,38,0,7.87
153,Emmett,US,2021-07-29 02:09:15,43.8735,-116.4993,96.17,18,12,8.48
154,Ibirite,BR,2021-07-29 02:09:15,-20.0219,-44.0589,69.31,86,51,7.38
155,Goderich,CA,2021-07-29 02:09:15,43.7501,-81.7165,71.04,74,68,9.33
156,Urubicha,BO,2021-07-29 02:09:15,-15.3833,-62.95,60.1,15,92,8.48
157,Suleja,NG,2021-07-29 02:09:16,9.1758,7.1808,69.57,90,90,1.19
158,Champerico,GT,2021-07-29 02:09:16,14.3,-91.9167,83.35,91,100,9.15
159,Nemuro,JP,2021-07-29 02:09:16,43.3236,145.575,68.85,94,100,11.86
160,Powell River,CA,2021-07-29 02:08:54,49.8496,-124.5361,84.99,47,0,2.62
161,Coihaique,CL,2021-07-29 02:09:17,-45.5752,-72.0662,40.95,87,0,8.05
162,Sabla,NG,2021-07-29 02:09:17,12.7525,4.7077,76.35,82,90,5.53
163,Dongsheng,CN,2021-07-29 02:09:17,39.8161,109.9776,76.93,39,0,2.91
164,Souillac,MU,2021-07-29 02:09:18,-20.5167,57.5167,71.37,75,100,21.54
165,Alzamay,RU,2021-07-29 02:09:18,55.5562,98.6644,55.49,86,100,11.18
166,Esperance,AU,2021-07-29 02:09:18,-33.8667,121.9,60.64,72,60,25.12
167,Moulins,FR,2021-07-29 02:09:19,46.5,3.3333,61.09,93,5,2.64
168,Barbacena,BR,2021-07-29 02:09:19,-21.2258,-43.7736,44.6,91,71,12.37
169,Stony Brook,US,2021-07-29 02:08:32,40.9257,-73.1409,73.87,87,40,8.99
170,Faanui,PF,2021-07-29 02:09:20,-16.4833,-151.75,78.33,69,33,3.0
171,Porto Belo,BR,2021-07-29 02:09:20,-27.1578,-48.5531,54.16,56,3,14.85
172,Norman Wells,CA,2021-07-29 02:09:20,65.282,-126.8329,57.24,90,100,9.33
173,Waipawa,NZ,2021-07-29 02:09:21,-41.4122,175.5153,54.23,66,5,3.6
174,Aswan,EG,2021-07-29 02:09:21,24.0934,32.907,85.64,23,13,8.61
175,Wadi Musa,JO,2021-07-29 02:09:21,30.3222,35.4793,65.32,63,0,4.52
176,Ovalle,CL,2021-07-29 02:09:22,-30.5983,-71.2003,54.59,54,0,1.16
177,Quarai,BR,2021-07-29 02:09:22,-30.3875,-56.4514,35.82,82,13,7.63
178,Litovel,CZ,2021-07-29 02:09:22,49.7012,17.0762,67.17,97,1,5.12
179,Lagoa,PT,2021-07-29 02:09:23,39.05,-27.9833,69.49,89,63,6.51
180,Alenquer,BR,2021-07-29 02:09:23,-1.9417,-54.7383,75.54,61,7,2.44
181,Luderitz,NA,2021-07-29 02:09:23,-26.6481,15.1594,53.02,79,0,16.02
182,Thompson,CA,2021-07-29 02:08:56,55.7435,-97.8558,55.87,54,99,2.86
183,Eureka,US,2021-07-29 02:06:32,40.8021,-124.1637,68.13,72,41,1.01
184,San Ramon,US,2021-07-29 02:06:04,37.7799,-121.978,93.34,55,1,13.8
185,Alugan,PH,2021-07-29 02:09:24,12.2188,125.4808,90.12,55,88,5.61
186,Severo-Yeniseyskiy,RU,2021-07-29 02:09:24,60.3725,93.0408,51.85,93,100,3.69
187,Hofn,IS,2021-07-29 02:09:25,64.2539,-15.2082,53.44,84,100,4.56
188,Priargunsk,RU,2021-07-29 02:09:25,50.3691,119.1012,72.19,74,17,4.38
189,High Wycombe,GB,2021-07-29 02:09:25,51.6291,-0.7493,55.9,89,0,14.07
190,Severo-Kurilsk,RU,2021-07-29 02:09:26,50.6789,156.125,59.36,89,92,3.76
191,Sitka,US,2021-07-29 02:09:26,57.0531,-135.33,66.09,59,40,13.8
192,Sibolga,ID,2021-07-29 02:09:26,1.7427,98.7792,81.59,72,100,0.43
193,Stanger,ZA,2021-07-29 02:09:27,-29.3282,31.2895,52.92,36,9,5.66
194,Mar Del Plata,AR,2021-07-29 02:07:41,-38.0023,-57.5575,42.01,66,0,3.0
195,Sola,VU,2021-07-29 02:09:27,-13.8833,167.55,79.52,79,61,15.23
196,Nago,JP,2021-07-29 02:09:27,26.5881,127.9761,88.23,77,42,6.93
197,Lompoc,US,2021-07-29 02:09:28,34.6391,-120.4579,77.56,84,90,9.22
198,Vostok,RU,2021-07-29 02:09:28,46.4856,135.8833,87.73,50,83,3.58
199,Talnakh,RU,2021-07-29 02:09:29,69.4865,88.3972,57.83,75,100,4.97
200,Westport,US,2021-07-29 02:07:57,41.1415,-73.3579,73.98,88,1,5.99
201,Port Lincoln,AU,2021-07-29 02:06:51,-34.7333,135.8667,57.33,60,0,17.27
202,Kangaatsiaq,GL,2021-07-29 02:06:12,68.3065,-53.4641,44.37,90,100,14.79
203,Ketchikan,US,2021-07-29 02:09:29,55.3422,-131.6461,64.87,68,40,5.75
204,Kirakira,SB,2021-07-29 02:09:29,-10.4544,161.9205,84.33,71,21,7.27
205,Kuusamo,FI,2021-07-29 02:09:30,65.9667,29.1833,55.44,100,0,4.61
206,Maceio,BR,2021-07-29 02:09:30,-9.6658,-35.7353,71.04,100,0,2.3
207,San Vicente,AR,2021-07-29 02:09:30,-26.6167,-54.1333,32.52,80,6,3.31
